Airline name ,Travel  Time,Number of  Stoppage ,Ticket prize(Doller),Departure  Airport,Departure Time,1st Stoppage Waiting time,1st Stoppage,2nd Stoppage Waiting time,2nd Stoppage,3rd Stoppage Waiting time,3rd Stoppage,Destination Airport,Arrival Time,Arrival Date,Time of the year ,Departure Date
Emirates,51:15:00,2 Stops,1156,DAC,1:40 AM,11:15,DXB,19:40,MXP,,,JFK,6:55 PM,4/8/2021,April,4/5/2021
Emirates,57:25:00,2 Stops,1156,DAC,7:30 PM,17:15,DXB,19:40,MXP,,,JFK,6:55 PM,4/9/2021,April,4/6/2021
Turkish,26:05:00,1 Stop,1175,DAC,6:35 AM,6:20,IST,,,,,EWR,10:40 PM,4/9/2021,April,4/7/2021
Kuwait,21:15:00,1 Stop,1264,DAC,3:10 AM,2:10,KWI,,,,,JFK,2:25 PM,4/9/2021,April,4/8/2021
Etihad,22:35:00,1 Stop,1283,DAC,8:55 PM,3:00,AUH,,,,,JFK,9:30 AM,4/8/2021,April,4/7/2021
Turkish,21:15:00,1 Stop,1297,DAC,6:35 AM,1:50,IST,,,,,JFK,5:50 PM,4/9/2021,April,4/8/2021
Emirates,27:15:00,1 Stop,1313,DAC,1:40 AM,5:15,DXB,,,,,JFK,6:55 PM,4/8/2021,April,4/6/2021
Emirates,35:50:00,1 Stop,1313,DAC,7:30 PM,12:20,DXB,,,,,EWR,9:20 PM,4/9/2021,April,4/7/2021
Multiple,27:15:00,1 Stop,1376,DAC,5:30 AM,7:30,DOH,,,,,JFK,10:45 PM,4/9/2021,April,4/7/2021
Qatar,27:00:00,1 Stop,1431,DAC,5:30 AM,7:05,DOH,,,,,JFK,10:30 PM,4/8/2021,April,4/6/2021
Qatar,43:50:00,1 Stop,1435,DAC,5:30 AM,23:55,DOH,,,,,JFK,3:20 PM,4/8/2021,April,4/6/2021
Turkish,38:45:00,1 Stop,1441,DAC,6:35 AM,19:20,IST,,,,,JFK,11:20 AM,4/9/2021,April,4/7/2021
Emirates,22:45:00,1 Stop,1448,DAC,1:40 AM,4:00,DXB,,,,,JFK,2:25 PM,4/8/2021,April,4/7/2021
British,27:35:00,2 Stops,1456,DAC,8:15 PM,2:10,DOH,4:35,LHR,,,EWR,1:50 PM,4/8/2021,April,4/6/2021
British,27:35:00,2 Stops,1456,DAC,8:15 PM,2:45,DOH,4:00,LHR,,,EWR,1:50 PM,4/8/2021,April,4/6/2021
